sn	Item1	Item2	cond	sess	trial	trial_type	title	typeOfScen	keybResp	keyDef	keybRT	rtBeep	rtDeadline	averageP	sdp	overlap	direct.xVy	overlapRound	correct	avgRT	sdRT	targetPresent	dirOverlap	correct01	res.RT	fit.RT	overlapRoundSN
1	a convict	a pedophile	terrorist	1	56	1	simplified	impersonal	k	Yes	8.05452260953729	N/A	-1	0.767575187969925	0.0323881720842725	0.46484962406015	1	0.5	1	3940.36666666667	2012.37453675763	TRUE	0.53515037593985	1	-0.0850027728418343	8.13952538237913	0.5
1	a cockroach	a thief	terrorist	1	65	1	simplified	impersonal	d	No	8.06777619577889	N/A	-1	0.642260683760684	0.043284938389608	0.715478632478632	-1	0.8	1	3940.36666666667	2012.37453675763	FALSE	-0.284521367521368	1	-0.0717489696472278	8.13952516542612	0.8
1	a homeless adult	a rabid possum	terrorist	1	66	1	simplified	impersonal	k	Yes	8.0481491016652	N/A	-1	0.946662878787879	0.017746682826375	0.106674242424242	1	0.2	1	3940.36666666667	2012.37453675763	TRUE	0.893325757575758	1	-0.091376059294376	8.13952516095958	0.2
1	a college student	a thief	terrorist	1	82	1	simplified	impersonal	k	Yes	7.84306401669205	N/A	-1	0.890021186440678	0.0269477602042852	0.219957627118644	1	0.3	1	3940.36666666667	2012.37453675763	TRUE	0.780042372881356	1	-0.296461130893109	8.13952514758516	0.3
1	a smartphone	a rapist	terrorist	1	89	1	simplified	impersonal	k	Yes	8.79194198845612	N/A	-1	0.171795275590551	0.032979738451044	0.343590551181102	1	0.4	1	3940.36666666667	2012.37453675763	TRUE	0.656409448818898	1	0.65241684099211	8.13952514746401	0.4
1	a rabid possum	a terrorist	terrorist	1	45	1	simplified	impersonal	k	Yes	8.28702502516506	N/A	-1	0.422790322580645	0.0410965977367719	0.84558064516129	1	0.9	1	3940.36666666667	2012.37453675763	TRUE	0.15441935483871	1	0.147494443905705	8.13953058125936	0.9
1	a gang member	a life-saving antidote	terrorist	1	28	1	simplified	impersonal	d	No	8.03980234373648	N/A	-1	0.097827868852459	0.0270885167236823	0.195655737704918	-1	0.2	1	3940.36666666667	2012.37453675763	FALSE	-0.804344262295082	1	-0.100419992012585	8.14022233574907	0.2
1	an astronaut	an elderly person	terrorist	1	14	1	simplified	impersonal	k	Yes	8.38228942895144	N/A	-1	0.393838842975207	0.0423876598846921	0.787677685950413	-1	0.8	0	3940.36666666667	2012.37453675763	FALSE	-0.212322314049587	0	0.204784531433756	8.17750489751768	0.8
1	a billionaire	an orphan	terrorist	1	118	1	simplified	impersonal	d	No	8.02355239240435	N/A	-1	0.380700892857143	0.0445485273162883	0.761401785714286	-1	0.8	1	3940.36666666667	2012.37453675763	FALSE	-0.238598214285714	1	-0.115972755040678	8.13952514744503	0.8
1	a college student	a gang member	terrorist	1	47	1	simplified	impersonal	k	Yes	7.73105314400713	N/A	-1	0.872294871794872	0.0293594749548352	0.255410256410256	1	0.3	1	3940.36666666667	2012.37453675763	TRUE	0.744589743589744	1	-0.40847507299655	8.13952821700368	0.3
